# generated by .rubies/generate-golden.sh -- do not edit
# regenerate with: make rubies-golden
file	1.9	2.0	2.1	2.3	2.5	2.6	2.7	3.0	3.1	3.2	3.4	4.0
internal/integrationtest/testdata/gems/minitest/lib/minitest/spec.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/test_task.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/test.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/lib/minitest/unit.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/metametameta.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_assertions.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_benchmark.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_mock.rb	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_reporter.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_spec.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_test_task.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/minitest/test/minitest/test_minitest_test.rb	fail	fail	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/pada/bit.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/pada/pada.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/pada/switch.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/pan-unicode-lang/bf_converter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/puberty/interpreter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/pyramid-scheme/pyra.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/doc/jamis.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/application.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/backtrace.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/clean.rb	fail	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/cloneable.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/cpu_counter.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/default_loader.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/dsl_definition.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/early_time.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/ext/core.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/ext/string.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/file_creation_task.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/file_list.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/file_task.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
internal/integrationtest/testdata/gems/rake/lib/rake/file_utils_ext.rb	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass	pass
